OBJECTID,X,Y,DEM,最湿温度,最湿湿度,最干温度,最干湿度,气温较差,暖季温度,暖季湿度,年平均雨,冷季温度,冷季湿度,年平均气
1,119.177002,35.073002,13,26.52293205,83.85096741,13.33993435,66.27465057,8.371888161,24.91020584,80.97736359,917.9456177,3.270717382,67.0867691,14.35396385
2,119.249,35.084499,1,26.52687836,83.83242035,13.27825928,66.33449554,8.37919426,24.92274475,80.98101044,918.9592285,3.298126698,67.16965485,14.34730911
3,119.069,34.974201,13,26.5092659,83.92848206,13.48934746,66.11953735,8.34282589,24.86886215,80.98605347,915.4376221,3.179028749,66.85388947,14.36644554
4,118.920998,35.0047,40,26.52160072,83.83522797,13.40694523,66.21832275,8.376413345,24.90845108,80.95372009,916.8831177,3.268312216,67.03006744,14.40464783
5,119.168999,34.921501,3,26.5043354,83.96923065,13.54052353,66.06202698,8.328039169,24.84987831,80.99666595,914.5345459,3.136578321,66.7599411,14.3555212
6,119.476997,34.7561,331,26.55001068,83.83322144,12.8400526,66.69554901,8.371627808,24.97064972,81.07613373,926.9486694,3.391191006,67.62150574,0
7,119.453003,34.765499,21,0,0,0,0,0,0,0,0,0,0,0
8,118.783997,34.744598,33,26.52806091,83.75701904,13.20969582,66.36030579,8.423776627,24.95300484,80.94469452,917.6549072,3.377929688,67.26875305,14.46317387
9,118.859001,34.880001,41,26.51604271,83.86211395,13.35852623,66.21811676,8.378920555,24.90267372,80.97234344,915.9443359,3.261400938,67.02455902,14.42111492
10,119.334,34.692902,12,26.52535439,83.89842987,13.16727066,66.40254211,8.358977318,24.91206551,81.04149628,920.4260864,3.271697044,67.21794128,14.41659164
11,118.990997,34.834598,6,26.50602722,83.96419525,13.54627991,66.05899048,8.329569817,24.85108757,80.99276733,914.4830322,3.139401197,66.75952911,14.38790798
12,119.152,34.7659,-2,26.50283241,83.98596191,13.57029629,66.03083801,8.321825027,24.84121132,80.99910736,914.0304565,3.117336273,66.71234131,14.38880348
13,119.257004,34.5662,3,26.54374313,83.82709503,12.87795734,66.68192291,8.387321472,24.96759605,81.0691452,925.4483032,3.392240763,67.60152435,14.4521246
14,119.085999,34.629501,1,26.52375221,83.89186859,13.28722095,66.30963898,8.358167648,24.90340614,81.01313019,918.8900146,3.253576517,67.10954285,14.47088528
15,119.640999,34.531101,0,26.61470413,83.74552917,11.30983353,67.94465637,8.419639587,25.14996719,81.34819031,949.8383789,3.767432213,69.21173859,14.50198269
16,119.473,34.621399,-5,26.5706768,83.78798676,12.44037724,67.04257202,8.389165878,25.02741051,81.13785553,933.5756226,3.510542631,68.07541656,14.4687109
17,118.915001,34.6926,7,26.52296257,83.84558868,13.38253593,66.24615479,8.371300697,24.90924263,80.96644592,917.7230835,3.268117905,67.057724,14.44597626
18,119.428001,34.502701,1,26.59259987,83.73918915,12.09137917,67.35823822,8.406389236,25.08181572,81.18873596,939.7792358,3.624987125,68.49301147,14.49925327
19,120.152,34.333301,1,26.65553665,84.14859772,7.443478107,70.55990601,8.367738724,25.33404541,82.28975677,991.6104736,4.148841858,72.23085785,14.5858984
20,119.598,34.439201,-1,26.62589836,83.73738098,10.96935272,68.22084808,8.427467346,25.1863575,81.41538239,954.9451904,3.84356904,69.55763245,14.51990032
21,119.935997,34.3116,-1,26.65902519,84.04202271,8.154176712,70.14447021,8.371765137,25.32050133,82.10466766,986.6311646,4.11739397,71.76888275,14.58161545
22,119.811997,34.461399,-1,26.63936424,83.81048584,9.947618484,68.91459656,8.433675766,25.24470711,81.6494751,965.7437744,3.965690136,70.37438202,14.54925156
23,120.255997,34.2915,2,26.64779282,84.23664856,6.928313732,70.84073639,8.367403984,25.33737564,82.42815399,994.5325317,4.158623695,72.53701019,0
24,119.987,34.402901,2,26.66320992,83.97525787,8.609371185,69.88359833,8.368000984,25.31232071,81.98603058,983.5149536,4.098353386,71.47730255,0
25,119.766998,34.3755,-1,26.64431763,83.83027649,9.672430038,69.1103363,8.435322762,25.26195908,81.71459961,969.0080566,4.00187397,70.60661316,14.54925156
26,120.105003,34.2477,2,26.64120102,84.23725891,6.993634224,70.77001953,8.373323441,25.32767868,82.4132309,993.0220947,4.138509274,72.45175934,14.59899902
27,118.667,34.611099,42,26.55539131,83.48608398,12.94004059,66.63274384,8.535059929,25.07141685,80.84912109,920.6448975,3.652926207,67.7840271,14.51272488
