OBJECTID,lon,lat,DEM,最湿温度,最湿湿度,最干温度,最干湿度,气温较差,暖季温度,暖季湿度,年平均雨,冷季温度,冷季湿度,年平均气,type
1,120.98,31.38,7,25.39069939,81.45880127,7.459189892,72.61129761,6.977600098,26.78380013,79.75520325,1199.469971,6.54501009,75.26580048,16.33838654,1
2,121.0530014,30.8617992,5,24.52680016,82.44819641,7.297210217,75.15969849,7.136750221,26.79529953,80.36710358,1261.640015,6.651199818,77.36990356,16.60272598,1
3,114.447998,31.0401001,45,28.16270065,78.35579681,6.245289803,72.21720123,8.363050461,26.69650078,77.15579987,1303.060059,6.886330128,74.70079803,16.73933601,1
4,109.4840012,28.8476009,308,21.20199966,82.25440216,12.27610016,76.09279633,7.93351984,25.29330063,79.09580231,1339.099976,7.515250206,78.16059875,16.39821243,1
5,110.3180008,28.5718994,183,24.50359917,81.97519684,7.793550014,72.52279663,7.993850231,26.13660049,77.56269836,1386.640015,7.649459839,75.43000031,16.58672714,1
6,112.5309982,26.9216995,71,12.19690037,80.43049622,29.02680016,70.22370148,7.030119896,27.69000053,72.96589661,1376.150024,8.503780365,79.97219849,16.95730209,1
7,106.7399979,26.8792992,1294,6.821849823,82.79949951,17.1602993,75.72779846,7.544419765,22.32509995,77.70279694,1077.420044,7.281010151,79.85829926,15.26482201,1
8,116.2,30.91,585,27.12719917,81.62860107,9.488069534,72.23370361,8.872670174,25.95870018,80.021698,1355.060059,6.249259949,75.30449677,15.73667908,1
9,120.4869995,27.9941998,535,25.00849915,84.103302,11.79520035,70.92669678,7.336430073,27.39299965,79.42500305,1685.819946,10.01970005,75.99939728,18.15531921,1
10,112.5849991,29.7383003,31,26.19890022,80.35119629,8.294599533,73.78250122,7.125889778,26.72520065,78.84279633,1273.300049,7.53674984,77.44799805,17.11445427,1
11,120.8339996,31.5772991,4,26.20859909,82.14089966,7.291609764,72.74810028,7.18516016,26.62150002,80.58519745,1168.130005,6.324969769,75.54270172,16.19657135,1
12,121.45806,31.22222,9,24.39290047,79.29910278,7.309370041,71.09320068,7.003489971,27.12590027,77.85610199,1250.640015,6.926430225,72.94080353,16.52096176,1
13,118.3199997,31.3208008,7,28.1583004,80.09449768,21.76530075,73.00579834,7.682499886,26.95750046,79.41369629,1213.27002,6.438370228,76.00749969,15.81525707,1
14,115.2659988,29.7719994,416,24.93400002,80.77780151,7.700809956,70.98069763,7.697850227,25.79170036,78.17870331,1608.209961,6.541349888,76.6473999,16.51496315,1
15,107.0299988,31.6602001,507,16.96910095,82.87319946,19.1439991,71.32299805,7.964570045,25.39150047,77.75740051,1112.410034,8.879340172,75.60009766,16.76041031,1
16,114.7190018,29.2915993,125,24.62360001,81.56749725,8.052069664,75.45059967,9.091119766,26.4034996,78.57679749,1586.890015,7.321199894,78.88150024,16.82988548,1
17,109.1,30.066667,884,12.80109978,83.37960052,19.88220024,75.67610168,7.94216013,25.27770042,78.34790039,1337.630005,7.838079929,78.71179962,16.56313133,1
18,110.2440033,27.1261005,724,21.50830078,82.07849884,17.27260017,76.08159637,7.986489773,25.8348999,78.17209625,1310.52002,7.946070194,79.0530014,17.02562904,1
19,118.4000015,32.0578003,90,27.39970016,81.36100006,16.57749939,70.98529816,8.272000313,26.24889946,80.10289764,1095.410034,5.698390007,73.1568985,15.92782593,1
